MOLAP	Wymiar	Bez Agregacji	57
MOLAP	Wymiar	Bez Agregacji	57
MOLAP	Wymiar	Bez Agregacji	68
MOLAP	Wymiar	Bez Agregacji	60
MOLAP	Ogólny	Bez Agregacji	21
MOLAP	Ogólny	Bez Agregacji	7
MOLAP	Ogólny	Bez Agregacji	6
MOLAP	Ogólny	Bez Agregacji	5
MOLAP	Ogólny	Bez Agregacji	9
MOLAP	Ogólny	Bez Agregacji	6
MOLAP	Ogólny	Bez Agregacji	5
MOLAP	Ogólny	Bez Agregacji	8
MOLAP	Ogólny	Bez Agregacji	5
MOLAP	Ogólny	Bez Agregacji	6
MOLAP	Data	Agregacja	37
MOLAP	Data	Agregacja	4
MOLAP	Data	Agregacja	4
MOLAP	Data	Agregacja	5
MOLAP	Data	Agregacja	6
MOLAP	Data	Agregacja	4
MOLAP	Data	Agregacja	5
MOLAP	Data	Agregacja	7
MOLAP	Data	Agregacja	5
MOLAP	Data	Agregacja	5
MOLAP	Wymiar	Agregacja	54
MOLAP	Wymiar	Agregacja	44
MOLAP	Wymiar	Agregacja	51
MOLAP	Wymiar	Agregacja	44
MOLAP	Wymiar	Agregacja	43
MOLAP	Wymiar	Agregacja	44
MOLAP	Wymiar	Agregacja	45
MOLAP	Wymiar	Agregacja	43
MOLAP	Wymiar	Agregacja	51
MOLAP	Wymiar	Agregacja	44
MOLAP	Ogólny	Agregacja	22
MOLAP	Ogólny	Agregacja	7
MOLAP	Ogólny	Agregacja	6
MOLAP	Ogólny	Agregacja	6
MOLAP	Ogólny	Agregacja	6
MOLAP	Ogólny	Agregacja	6
MOLAP	Ogólny	Agregacja	7
MOLAP	Ogólny	Agregacja	8
MOLAP	Ogólny	Agregacja	6
MOLAP	Ogólny	Agregacja	6
